Day,Abundance,Complexity
1,0.98,H
2,12.56,H
3,3.49,H
4,13.98,H
5,4.94,H
6,2.32,H
7,67.48,H
1,1.12,L
2,31.47,L
3,2.6,L
4,3.69,L
5,4.13,L
6,3.67,L
7,29.12,L
