Day,Abundance,Complexity
1,1.32,H
2,91,H
3,9.4,H
4,,H
5,9.29,H
6,1.9,H
7,,H
1,3.81,L
2,26,L
3,3.12,L
4,,L
5,4.61,L
6,5,L
7,,L
