strain,carbon,A,umax,Lhr
Bther,kest,6.185,0.1844,0
Bther,kest,8.0585,0.2244,0
Bther,kest,0.2739,0.0166,0
Bther,kest,19.3753,0.8763,0
Bther,kest,27.8964,0.7172,0
Bther,kest,15.1228,0.3781,0
Bther,kest,28.0537,0.8566,0
Bther,CLR,0.9098,0.0552,1.0607
Bther,CLR,1.1658,0.0603,1.3426
Bther,CLR,1.7251,0.2765,0
Bther,CLR,1.6367,0.1641,0.4619
Bther,CLR,1.1285,0.0763,0
Bther,CLR,1.5626,0.0834,0
Bther,CLR,1.6443,0.2298,0.1037
Bther,TEX23,0.8055,0.0675,0.3879
Bther,TEX23,0.4628,0.0326,0.6059
Bther,TEX23,0.4003,0.0322,1.3188
Bther,TEX23,0.6881,0.0469,0.4887
Bther,TEX23,1.1991,0.1451,1.2342
Bther,TEX23,0.5225,0.0368,0.6615
Bther,TEX23,0.7681,0.0671,1.4971
