Time,System,RPM,Abs,X_10_9,V
15,Gut_NoVilli,15,0.245,815740,3.1
16,Gut_NoVilli,15,0.221,815740,3.1
17,Gut_NoVilli,15,0.184,815740,3.1
18,Gut_NoVilli,15,0.168,815740,3.1
19,Gut_NoVilli,15,0.149,815740,3.1
20,Gut_NoVilli,15,0.138,815740,3.1
21,Gut_NoVilli,15,0.115,815740,3.1
22,Gut_NoVilli,15,0.105,815740,3.1
23,Gut_NoVilli,15,0.095,815740,3.1
24,Gut_NoVilli,15,0.086,815740,3.1
25,Gut_NoVilli,15,0.079,815740,3.1
26,Gut_NoVilli,15,0.074,815740,3.1
27,Gut_NoVilli,15,0.073,815740,3.1
28,Gut_NoVilli,15,0.065,815740,3.1
29,Gut_NoVilli,15,0.06,815740,3.1
30,Gut_NoVilli,15,0.056,815740,3.1
31,Gut_NoVilli,15,15.21,815740,17
0,Chemostat,72,0,803069,16.5
1,Chemostat,72,9.95,803069,16.5
2,Chemostat,72,3.896,803069,16.5
3,Chemostat,72,1.891,803069,16.5
4,Chemostat,72,0.83,803069,16.5
5,Chemostat,72,0.353,803069,16.5
6,Chemostat,72,0.144,803069,16.5
7,Chemostat,72,0.058,803069,16.5
8,Chemostat,72,0.021,803069,16.5
9,Chemostat,72,0.005,803069,16.5
10,Chemostat,72,0,803069,16.5
11,Chemostat,72,0,803069,16.5
12,Chemostat,72,0,803069,16.5
13,Chemostat,72,0,803069,16.5
14,Chemostat,72,0,803069,16.5
15,Chemostat,72,0,803069,16.5
16,Chemostat,72,0,803069,16.5
17,Chemostat,72,0,803069,16.5
18,Chemostat,72,0,803069,16.5
19,Chemostat,72,0.083,803069,16.5
20,Chemostat,72,0,803069,16.5
21,Chemostat,72,0,803069,16.5
22,Chemostat,72,0,803069,16.5
23,Chemostat,72,0,803069,16.5
24,Chemostat,72,0,803069,16.5
25,Chemostat,72,0,803069,16.5
26,Chemostat,72,0,803069,16.5
27,Chemostat,72,0,803069,16.5
28,Chemostat,72,0,803069,16.5
29,Chemostat,72,0,803069,16.5
30,Chemostat,72,0,803069,16.5
31,Chemostat,72,0,803069,17
0,Gut_NoVilli,72,0.301,803069,16.5
1,Gut_NoVilli,72,3.482,803069,16.5
2,Gut_NoVilli,72,2.072,803069,16.5
3,Gut_NoVilli,72,0.98,803069,16.5
4,Gut_NoVilli,72,0.54,803069,16.5
5,Gut_NoVilli,72,0.32,803069,16.5
6,Gut_NoVilli,72,0.221,803069,16.5
7,Gut_NoVilli,72,0.17,803069,16.5
8,Gut_NoVilli,72,0.226,803069,16.5
9,Gut_NoVilli,72,0.168,803069,16.5
10,Gut_NoVilli,72,0.122,803069,16.5
11,Gut_NoVilli,72,0.1,803069,16.5
12,Gut_NoVilli,72,0.084,803069,16.5
13,Gut_NoVilli,72,0.076,803069,16.5
14,Gut_NoVilli,72,0.074,803069,16.5
15,Gut_NoVilli,72,0.078,803069,16.5
16,Gut_NoVilli,72,0.077,803069,16.5
17,Gut_NoVilli,72,0.075,803069,16.5
18,Gut_NoVilli,72,0.071,803069,16.5
19,Gut_NoVilli,72,0.07,803069,16.5
20,Gut_NoVilli,72,0.067,803069,16.5
21,Gut_NoVilli,72,0.064,803069,16.5
22,Gut_NoVilli,72,0.065,803069,16.5
23,Gut_NoVilli,72,0.066,803069,16.5
24,Gut_NoVilli,72,0.066,803069,16.5
25,Gut_NoVilli,72,0.064,803069,16.5
26,Gut_NoVilli,72,0.066,803069,16.5
27,Gut_NoVilli,72,0.068,803069,16.5
28,Gut_NoVilli,72,0.062,803069,16.5
29,Gut_NoVilli,72,0.064,803069,16.5
30,Gut_NoVilli,72,0.06,803069,16.5
31,Gut_NoVilli,72,8.73,803069,17
