strain	carbon	OD600
Bther	gluc	4.73
Bther	gluc	5.24
Bther	gluc	4.15
Bther	gluc	3.38
Bther	kest	5.71
Bther	kest	5.48
Bther	kest	3.86
Bther	kest	3.69
Bther	kest	3.92
Bther	CLR	5.48
Bther	CLR	5.13
Bther	CLR	5.23
Bther	CLR	5.27
Bther	CLR	6.17
Bther	TEX23	3.29
Bther	TEX23	2.41
Bther	TEX23	2.22
Bther	TEX23	2.61
Bther	TEX23	1.97
Bther	sensus	2.55
Bther	sensus	2.53
Bther	sensus	3.48
Bther	sensus	2.94
Bther	sensus	2.82
