strain,carbon,Complete.name,OD.600,pH,O2
Banimlact,gluc,bg,3.38,4.57,3.8
Banimlact,gluc,bg,4.24,4.58,4
Banimlact,gluc,bg,4.57,4.6,2.9
Banimlact,gluc,bg,3.53,4.61,3.3
Banimlact,gluc,bg,3.54,4.66,4.3
Banimlact,CLR,bm,0.61,5.36,3.7
Banimlact,CLR,bm,0.98,5.3,2.5
Banimlact,CLR,bm,0.99,5.3,4.6
Banimlact,CLR,bm,0.73,5.29,5
Banimlact,CLR,bm,0.61,5.32,3.8
Banimlact,Sensus,bh,0.147,6.46,5.3
Banimlact,Sensus,bh,0.142,6.48,5.3
Banimlact,Sensus,bh,0.198,6.43,3.1
Banimlact,Sensus,bh,0.248,6.43,4.9
Banimlact,Sensus,bh,0.151,6.43,3.6
