strain,carbon,Complete.name,OD.600,pH,O2
Banimlact,gluc,Glucose culture,3.38,4.57,3.8
Banimlact,gluc,Glucose culture,4.24,4.58,4
Banimlact,gluc,Glucose culture,4.57,4.6,2.9
Banimlact,gluc,Glucose culture,3.53,4.61,3.3
Banimlact,gluc,Glucose culture,3.54,4.66,4.3
Banimlact,CLR,CLR culture,0.61,5.36,3.7
Banimlact,CLR,CLR culture,0.98,5.3,2.5
Banimlact,CLR,CLR culture,0.99,5.3,4.6
Banimlact,CLR,CLR culture,0.73,5.29,5
Banimlact,CLR,CLR culture,0.61,5.32,3.8
Banimlact,Sensus,Sensus TEX culture,0.147,6.46,5.3
Banimlact,Sensus,Sensus TEX culture,0.142,6.48,5.3
Banimlact,Sensus,Sensus TEX culture,0.198,6.43,3.1
Banimlact,Sensus,Sensus TEX culture,0.248,6.43,4.9
Banimlact,Sensus,Sensus TEX culture,0.151,6.43,3.6
blank,gluc,Glucose blank medium,0,6.05,5.2
blank,gluc,Glucose blank medium,0,6.09,4.9
blank,CLR,CLR blank medium,0,6.67,5.4
blank,CLR,CLR blank medium,0,6.66,6
blank,Sensus,Sensus TEX blank medium,0,6.67,5.6
blank,Sensus,Sensus TEX blank medium,0,6.69,5.7
blank,water,Aerated Epure water,0,7,8.6
blank,water,Aerated Epure water,0,7,8.3
blank,water,Aerated Epure water,0,7,8.9
