Oxygen,Concentration
Gut,0.4
Gut,0.4
Gut,0.4
Gut,1.4
Gut,0.1
Gut,0.1
Media,7.8
Media,7.5
Media,3.3
Media,3.6
Gut,0.4
Gut,1
Gut,0.2
Gut,0.7
Gut,0.4
Gut,1
