Day,Abundance,Complexity
1,98000000,H
2,1256000000,H
3,349000000,H
4,1398000000,H
5,494000000,H
6,232000000,H
7,6748000000,H
1,112000000,L
2,3147000000,L
3,260000000,L
4,369000000,L
5,413000000,L
6,367000000,L
7,2912000000,L
