Sample,Gut,Day,P1 Abs. Count,All Abs. Count,PBS
D1A,A,1,5204754638,6995352854,50705966
D1B,B,1,6302687420,8393847047,50705966
D1C,C,1,5517444189,7600490262,50705966
D2A,A,2,14776497296,15932656329,50705966
D2B,B,2,4429325516,6624749348,50705966
D2C,C,2,15476194465,16112240257,50705966
D3A,A,3,4644577306,7151967226,50705966
D3B,B,3,4609239412,7210197391,50705966
D3C,C,3,5395499946,8033647330,50705966
D4A,A,4,10376750645,12343970246,50705966
D4B,B,4,7190563282,9144900031,50705966
D4C,C,4,9265015439,10048276469,50705966
D5A,A,5,6098462288,8420980139,50705966
D5B,B,5,5678173979,7636140685,50705966
D5C,C,5,6292030538,8270090904,50705966
D6A,A,6,6482629478,9261212816,50705966
D6B,B,6,10690027016,11903963590,50705966
D6C,C,6,12335705188,12936062055,50705966
D7A,A,7,10366044631,10934676291,50705966
D7B,B,7,6849779627,8945790311,50705966
D7C,C,7,7473521865,8387535878,50705966
D8A,A,8,7508606623,10087679567,50705966
D8B,B,8,7484016232,10664953861,50705966
D8C,C,8,8255834733,11174368001,50705966
D9A,A,9,7837794058,10320526094,50705966
D9B,B,9,7506749485,10268658135,50705966
D9C,C,9,7294331456,9965275571,50705966
D10A,A,10,5157519134,7118344953,50705966
D10B,B,10,8716829701,11878949215,50705966
D10C,C,10,6869780516,9345955197,50705966
D11A,A,11,5962632378,8682784071,50705966
D11B,B,11,7004145980,10175415500,50705966
D11C,C,11,5534679883,8039523380,50705966
D12A,A,12,5611348989,7755760817,50705966
D12B,B,12,3056393253,4484847090,50705966
D12C,C,12,5707623204,7523206741,50705966
D13A,A,13,7037158520,9948707323,50705966
D13B,B,13,7001149930,10363591063,50705966
D13C,C,13,7991447791,11411290196,50705966
D14A,A,14,8363477947,11298842838,50705966
D14B,B,14,7043905638,10136888563,50705966
D14C,C,14,8906396971,11281617434,50705966
D15A,A,15,2342097251,4640542143,50705966
D15B,B,15,1989985300,4284698091,50705966
D15C,C,15,2764835466,4950666761,50705966
D16A,A,16,364744825,914314745,50705966
D16B,B,16,77235199,596715126,50705966
D16C,C,16,284601673,842684423,50705966
D17A,A,17,384547916,1021702337,50705966
D17B,B,17,86793296,659164042,50705966
D17C,C,17,194048379,833260698,50705966
D18A,A,18,265175285,890575186,50705966
D18B,B,18,71067177,670296419,50705966
D18C,C,18,94910793,678750336,50705966
D19A,A,19,124456984,784040937,50705966
D19B,B,19,94104536,721337678,50705966
D19C,C,19,165306745,820952413,50705966
D20A,A,20,177472781,794654482,50705966
D20B,B,20,63481416,665994659,50705966
D20C,C,20,65547473,666798372,50705966
D21A,A,21,46617688,652895998,50705966
D21B,B,21,471697723,1187302746,50705966
D21C,C,21,57872483,671797584,50705966
D22A,A,22,81855693,707197173,50705966
D22B,B,22,59133514,689058127,50705966
D22C,C,22,168092786,831317148,50705966
D23A,A,23,259702268,918430784,50705966
D23B,B,23,148990417,772278673,50705966
D23C,C,23,44425748,680734836,50705966
D24A,A,24,57974635,673125937,50705966
D24B,B,24,311594049,974381574,50705966
D24C,C,24,214626257,858522492,50705966
D25A,A,25,51103802,667911204,50705966
D25B,B,25,259425911,908567604,50705966
D25C,C,25,169840916,790896821,50705966
D26A,A,26,37895857,687405683,50705966
D26B,B,26,56917085,688538806,50705966
D26C,C,26,424736900,1032530606,50705966
D27A,A,27,150161701,780800734,50705966
D27B,B,27,1967923345,2749380278,50705966
D27C,C,27,280414272,916408711,50705966
D28A,A,28,492507999,1218117883,50705966
D28B,B,28,303273704,973328574,50705966
D28C,C,28,43058724,693479700,50705966
D0,A,0,720650753,2777617382,50705966
D0,B,0,720650753,2777617382,50705966
D0,C,0,720650753,2777617382,50705966
