Time,Conc,RT
0,19000,25
0.5,15500,25
1,16400,25
1.5,19200,25
2,13900,25
2.5,16500,25
3,14500,25
3.5,14000,25
4,21900,25
4.5,13200,25
5,9000,25
5.5,14100,25
6,10700,25
6.5,272100,25
7,2091200,25
7.5,2835700,25
8,3270000,25
8.5,3716900,25
9,3103600,25
9.5,2141700,25
10,2015300,25
10.5,1777200,25
11,1596500,25
11.5,1398600,25
12,1134500,25
12.5,1117400,25
13,1161700,25
13.5,1107300,25
14,835300,25
14.5,756400,25
15,798700,25
15.5,770000,25
16,679300,25
16.5,701000,25
17,600400,25
17.5,592000,25
18,528500,25
18.5,491600,25
19,504400,25
19.5,507700,25
20,506900,25
20.5,520500,25
21,444800,25
21.5,479400,25
22,429600,25
22.5,434300,25
23,474500,25
23.5,460300,25
24,501100,25
24.5,486300,25
25,472600,25
25.5,519900,25
26,480500,25
26.5,471000,25
27,524300,25
27.5,475500,25
28,542400,25
28.5,637200,25
29,605200,25
29.5,671400,25
30,709800,25
30.5,859200,25
31,996900,25
31.5,1301500,25
32,1948300,25
32.5,2281600,25
