Time,Conc,RT
0,2463,14.28
0.5,5152,14.28
1,11358,14.28
1.5,2846,14.28
2,51966,14.28
2.5,884202,14.28
3,988877,14.28
3.5,1022684,14.28
4,906217,14.28
4.5,610032,14.28
5,411922,14.28
5.5,269881,14.28
6,221748,14.28
6.5,209167,14.28
7,180698,14.28
7.5,143337,14.28
8,121754,14.28
8.5,117601,14.28
9,98829,14.28
9.5,83313,14.28
10,69926,14.28
10.5,75582,14.28
11,76040,14.28
11.5,87684,14.28
12,73642,14.28
12.5,72576,14.28
13,70018,14.28
13.5,68007,14.28
14,57745,14.28
14.5,75091,14.28
15,97497,14.28
15.5,110462,14.28
16,110445,14.28
16.5,109370,14.28
17,101950,14.28
17.5,88373,14.28
18,69203,14.28
18.5,64412,14.28
19,21690,14.28
19.5,56201,14.28
20,56683,14.28
20.5,45273,14.28
21,48177,14.28
21.5,45946,14.28
22,37576,14.28
22.5,34690,14.28
23,25833,14.28
23.5,30099,14.28
24,23970,14.28
24.5,25608,14.28
25,28510,14.28
25.5,27894,14.28
26,27127,14.28
26.5,25163,14.28
27,25237,14.28
27.5,24386,14.28
28,22909,14.28
28.5,23515,14.28
29,19927,14.28
29.5,21156,14.28
30,19651,14.28
