Time,Conc,RT
0,4298,14.28
0.5,1597,14.28
1,1691,14.28
1.5,1557,14.28
2,1885,14.28
2.5,1317,14.28
3,2463,14.28
3.5,5152,14.28
4,11358,14.28
4.5,2846,14.28
5,51966,14.28
5.5,884202,14.28
6,988877,14.28
6.5,1022684,14.28
7,906217,14.28
7.5,610032,14.28
8,411922,14.28
8.5,269881,14.28
9,221748,14.28
9.5,209167,14.28
10,180698,14.28
10.5,143337,14.28
11,121754,14.28
11.5,117601,14.28
12,98829,14.28
12.5,83313,14.28
13,69926,14.28
13.5,75582,14.28
14,76040,14.28
14.5,87684,14.28
15,73642,14.28
15.5,72576,14.28
16,70018,14.28
16.5,68007,14.28
17,57745,14.28
17.5,75091,14.28
18,97497,14.28
18.5,110462,14.28
19,110445,14.28
19.5,109370,14.28
20,101950,14.28
20.5,88373,14.28
21,69203,14.28
21.5,64412,14.28
22,21690,14.28
22.5,56201,14.28
23,56683,14.28
23.5,45273,14.28
24,48177,14.28
24.5,45946,14.28
25,37576,14.28
25.5,34690,14.28
26,25833,14.28
26.5,30099,14.28
27,23970,14.28
27.5,25608,14.28
28,28510,14.28
28.5,27894,14.28
29,27127,14.28
29.5,25163,14.28
30,25237,14.28
30.5,24386,14.28
31,22909,14.28
31.5,23515,14.28
32,19927,14.28
32.5,21156,14.28
33,19651,14.28
