Time,Conc,RT
0,1546,14.28
0.5,1137,14.28
1,1890,14.28
1.5,1760,14.28
2,2034,14.28
2.5,1479,14.28
3,2635,14.28
3.5,5446,14.28
4,12346,14.28
4.5,3312,14.28
5,3016,14.28
5.5,9048,14.28
6,92308,14.28
6.5,284935,14.28
7,363134,14.28
7.5,388950,14.28
8,362113,14.28
8.5,218556,14.28
9,267879,14.28
9.5,209375,14.28
10,162224,14.28
10.5,129702,14.28
11,117033,14.28
11.5,105966,14.28
12,99219,14.28
12.5,94513,14.28
13,90595,14.28
13.5,87801,14.28
14,82536,14.28
14.5,78432,14.28
15,73613,14.28
15.5,67282,14.28
16,64283,14.28
16.5,57049,14.28
17,53957,14.28
17.5,49508,14.28
18,46581,14.28
18.5,43570,14.28
19,41188,14.28
19.5,37642,14.28
20,34036,14.28
20.5,31182,14.28
21,31168,14.28
21.5,28632,14.28
22,28673,14.28
22.5,25573,14.28
23,18578,14.28
23.5,21636,14.28
24,21343,14.28
24.5,19371,14.28
25,19021,14.28
25.5,17325,14.28
26,16690,14.28
26.5,14838,14.28
27,14270,14.28
27.5,14292,14.28
28,12985,14.28
28.5,12132,14.28
29,11400,14.28
29.5,10510,14.28
30,8906,14.28
30.5,9347,14.28
31,8967,14.28
31.5,8083,14.28
32,7192,14.28
32.5,7838,14.28
33,7929,14.28
