Time,Conc,RT
0,2635,14.28
0.5,5446,14.28
1,12346,14.28
1.5,3312,14.28
2,3016,14.28
2.5,9048,14.28
3,92308,14.28
3.5,284935,14.28
4,363134,14.28
4.5,388950,14.28
5,362113,14.28
5.5,218556,14.28
6,267879,14.28
6.5,209375,14.28
7,162224,14.28
7.5,129702,14.28
8,117033,14.28
8.5,105966,14.28
9,99219,14.28
9.5,94513,14.28
10,90595,14.28
10.5,87801,14.28
11,82536,14.28
11.5,78432,14.28
12,73613,14.28
12.5,67282,14.28
13,64283,14.28
13.5,57049,14.28
14,53957,14.28
14.5,49508,14.28
15,46581,14.28
15.5,43570,14.28
16,41188,14.28
16.5,37642,14.28
17,34036,14.28
17.5,31182,14.28
18,31168,14.28
18.5,28632,14.28
19,28673,14.28
19.5,25573,14.28
20,18578,14.28
20.5,21636,14.28
21,21343,14.28
21.5,19371,14.28
22,19021,14.28
22.5,17325,14.28
23,16690,14.28
23.5,14838,14.28
24,14270,14.28
24.5,14292,14.28
25,12985,14.28
25.5,12132,14.28
26,11400,14.28
26.5,10510,14.28
27,8906,14.28
27.5,9347,14.28
28,8967,14.28
28.5,8083,14.28
29,7192,14.28
29.5,7838,14.28
30,7929,14.28
