Time,Conc,RT
0,54800,25
0.5,8500,25
1,5100,25
1.5,1800,25
2,1100,25
2.5,10200,25
3,4400,25
3.5,800,25
4,1600,25
4.5,6300,25
5,1600,25
5.5,3900,25
6,38200,25
6.5,318800,25
7,1037500,25
7.5,3072400,25
8,4843500,25
8.5,4068400,25
9,3253500,25
9.5,2528500,25
10,2097300,25
10.5,1792900,25
11,1577500,25
11.5,1430600,25
12,1193300,25
12.5,1122800,25
13,1066400,25
13.5,1029600,25
14,991100,25
14.5,900100,25
15,809300,25
15.5,722800,25
16,722300,25
16.5,680900,25
17,655300,25
17.5,571500,25
18,578200,25
18.5,592700,25
19,622200,25
19.5,580900,25
20,553500,25
20.5,520000,25
21,489600,25
21.5,485200,25
22,464600,25
22.5,464600,25
23,457200,25
23.5,408000,25
24,404300,25
24.5,385000,25
25,374400,25
25.5,378500,25
26,376100,25
26.5,355100,25
27,353200,25
27.5,251600,25
28,215400,25
28.5,373700,25
29,395900,25
29.5,342900,25
30,340500,25
30.5,407200,25
31,359100,25
31.5,349200,25
32,363200,25
32.5,360600,25
