Time,Conc,RT
0,83800,25
0.5,61800,25
1,61000,25
1.5,16400,25
2,16100,25
2.5,9600,25
3,4900,25
3.5,4800,25
4,5100,25
4.5,14000,25
5,12900,25
5.5,6900,25
6,3800,25
6.5,2200,25
7,46200,25
7.5,89400,25
8,69700,25
8.5,152700,25
9,407000,25
9.5,675000,25
10,752200,25
10.5,726600,25
11,690200,25
11.5,576400,25
12,520400,25
12.5,515400,25
13,384100,25
13.5,325000,25
14,276200,25
14.5,265100,25
15,235900,25
15.5,194400,25
16,184000,25
16.5,176100,25
17,168000,25
17.5,213400,25
18,173500,25
18.5,156200,25
19,158700,25
19.5,167700,25
20,181500,25
20.5,158300,25
21,156900,25
21.5,160400,25
22,167400,25
22.5,101100,25
23,156300,25
23.5,157200,25
24,160000,25
24.5,139500,25
25,131000,25
25.5,123200,25
26,121100,25
26.5,111300,25
27,102500,25
27.5,106700,25
28,103700,25
28.5,110900,25
29,100500,25
29.5,94600,25
30,94700,25
30.5,95400,25
31,102700,25
31.5,102500,25
32,109600,25
32.5,102000,25
