Time,Conc,RT
0,2010,25
0.5,1706,25
1,1969,25
1.5,1860,25
2,2197,25
2.5,1883,25
3,1405,25
3.5,1316,25
4,1440,25
4.5,2519,25
5,76096,25
5.5,156085,25
6,163536,25
6.5,171597,25
7,156534,25
7.5,139986,25
8,127269,25
8.5,133182,25
9,132210,25
9.5,106042,25
10,87768,25
10.5,70613,25
11,56578,25
11.5,56689,25
12,51981,25
12.5,45841,25
13,41245,25
13.5,43311,25
14,39422,25
14.5,29735,25
15,27816,25
15.5,25115,25
16,24550,25
16.5,22759,25
17,21917,25
17.5,19501,25
18,19038,25
18.5,16580,25
19,12289,25
19.5,15999,25
20,17826,25
20.5,16771,25
21,16646,25
21.5,15069,25
22,14598,25
22.5,13339,25
23,11705,25
23.5,11400,25
24,11156,25
24.5,9880,25
25,10156,25
25.5,9475,25
26,8718,25
26.5,8009,25
27,5666,25
27.5,6869,25
28,6944,25
28.5,6280,25
29,6312,25
29.5,6067,25
30,6342,25
