Time,Conc,RT
0,4225,25
0.5,2128,25
1,2499,25
1.5,2603,25
2,2370,25
2.5,2298,25
3,2010,25
3.5,1706,25
4,1969,25
4.5,1860,25
5,2197,25
5.5,1883,25
6,1405,25
6.5,1316,25
7,1440,25
7.5,2519,25
8,76096,25
8.5,156085,25
9,163536,25
9.5,171597,25
10,156534,25
10.5,139986,25
11,127269,25
11.5,133182,25
12,132210,25
12.5,106042,25
13,87768,25
13.5,70613,25
14,56578,25
14.5,56689,25
15,51981,25
15.5,45841,25
16,41245,25
16.5,43311,25
17,39422,25
17.5,29735,25
18,27816,25
18.5,25115,25
19,24550,25
19.5,22759,25
20,21917,25
20.5,19501,25
21,19038,25
21.5,16580,25
22,12289,25
22.5,15999,25
23,17826,25
23.5,16771,25
24,16646,25
24.5,15069,25
25,14598,25
25.5,13339,25
26,11705,25
26.5,11400,25
27,11156,25
27.5,9880,25
28,10156,25
28.5,9475,25
29,8718,25
29.5,8009,25
30,5666,25
30.5,6869,25
31,6944,25
31.5,6280,25
32,6312,25
32.5,6067,25
33,6342,25
