Time,Conc,RT
0,17407,25
0.5,16111,25
1,15030,25
1.5,14267,25
2,11906,25
2.5,10355,25
3,9482,25
3.5,10304,25
4,44941,25
4.5,100024,25
5,128189,25
5.5,163959,25
6,189804,25
6.5,164679,25
7,136284,25
7.5,104258,25
8,89255,25
8.5,74511,25
9,63972,25
9.5,55543,25
10,49912,25
10.5,34731,25
11,45694,25
11.5,41532,25
12,40120,25
12.5,40411,25
13,36909,25
13.5,34718,25
14,29869,25
14.5,27712,25
15,26736,25
15.5,24519,25
16,24666,25
16.5,22865,25
17,21282,25
17.5,20028,25
18,18258,25
18.5,16157,25
19,11894,25
19.5,14013,25
20,12985,25
20.5,12240,25
21,11580,25
21.5,10490,25
22,10004,25
22.5,9675,25
23,8875,25
23.5,8212,25
24,7939,25
24.5,7505,25
25,7448,25
25.5,5298,25
26,6283,25
26.5,6107,25
27,3575,25
27.5,5433,25
28,5165,25
28.5,4472,25
29,4867,25
29.5,4410,25
30,4640,25
