Time,Conc,RT
0,8199,25
0.5,9659,25
1,20754,25
1.5,15344,25
2,12948,25
2.5,14593,25
3,15609,25
3.5,13936,25
4,11526,25
4.5,9304,25
5,8097,25
5.5,6648,25
6,122770,25
6.5,990423,25
7,922609,25
7.5,913725,25
8,994226,25
8.5,671589,25
9,505727,25
9.5,426089,25
10,384575,25
10.5,340837,25
11,292743,25
11.5,230812,25
12,219154,25
12.5,219389,25
13,211523,25
13.5,208314,25
14,197112,25
14.5,162139,25
15,172319,25
15.5,166079,25
16,160781,25
16.5,149919,25
17,133336,25
17.5,133684,25
18,131055,25
18.5,117325,25
19,115697,25
19.5,101015,25
20,101901,25
20.5,95750,25
21,89449,25
21.5,84270,25
22,81038,25
22.5,74301,25
23,69641,25
23.5,49169,25
24,64294,25
24.5,59547,25
25,54155,25
25.5,43945,25
26,48698,25
26.5,44479,25
27,45751,25
27.5,41828,25
28,36309,25
28.5,31141,25
29,33543,25
29.5,23394,25
30,31819,25
30.5,27601,25
31,31144,25
31.5,28303,25
32,20561,25
32.5,23511,25
33,24215,25
