Time,Conc,RT
0,3669,25
0.5,4115,25
1,5420,25
1.5,3619,25
2,2787,25
2.5,2075,25
3,2383,25
3.5,757,25
4,658,25
4.5,784,25
5,4275,25
5.5,578,25
6,477,25
6.5,27798,25
7,84582,25
7.5,175294,25
8,226911,25
8.5,48043,25
9,161334,25
9.5,137953,25
10,106791,25
10.5,87153,25
11,66979,25
11.5,50281,25
12,44574,25
12.5,39083,25
13,32007,25
13.5,26435,25
14,23572,25
14.5,22504,25
15,18921,25
15.5,17022,25
16,17584,25
16.5,16653,25
17,14630,25
17.5,14183,25
18,12587,25
18.5,12744,25
19,10728,25
19.5,8810,25
20,8746,25
20.5,7892,25
21,7335,25
21.5,6616,25
22,6114,25
22.5,5725,25
23,5697,25
23.5,6523,25
24,6293,25
24.5,5379,25
25,4935,25
25.5,4581,25
26,4393,25
26.5,4512,25
27,3890,25
27.5,3899,25
28,3607,25
28.5,3384,25
29,3514,25
29.5,3097,25
30,3163,25
30.5,2964,25
31,2689,25
31.5,2582,25
32,2725,25
32.5,2624,25
33,2104,25
