Time,Conc,RT
0,15609,25
0.5,13936,25
1,11526,25
1.5,9304,25
2,8097,25
2.5,6648,25
3,122770,25
3.5,990423,25
4,922609,25
4.5,913725,25
5,994226,25
5.5,671589,25
6,505727,25
6.5,426089,25
7,384575,25
7.5,340837,25
8,292743,25
8.5,230812,25
9,219154,25
9.5,219389,25
10,211523,25
10.5,208314,25
11,197112,25
11.5,162139,25
12,172319,25
12.5,166079,25
13,160781,25
13.5,149919,25
14,133336,25
14.5,133684,25
15,131055,25
15.5,117325,25
16,115697,25
16.5,101015,25
17,101901,25
17.5,95750,25
18,89449,25
18.5,84270,25
19,81038,25
19.5,74301,25
20,69641,25
20.5,49169,25
21,64294,25
21.5,59547,25
22,54155,25
22.5,43945,25
23,48698,25
23.5,44479,25
24,45751,25
24.5,41828,25
25,36309,25
25.5,31141,25
26,33543,25
26.5,23394,25
27,31819,25
27.5,27601,25
28,31144,25
28.5,28303,25
29,20561,25
29.5,23511,25
30,24215,25
