Time,Conc,RT
0,30232,25
0.5,36438,25
1,24368,25
1.5,20800,25
2,16055,25
2.5,15539,25
3,17407,25
3.5,16111,25
4,15030,25
4.5,14267,25
5,11906,25
5.5,10355,25
6,9482,25
6.5,10304,25
7,44941,25
7.5,100024,25
8,128189,25
8.5,163959,25
9,189804,25
9.5,164679,25
10,136284,25
10.5,104258,25
11,89255,25
11.5,74511,25
12,63972,25
12.5,55543,25
13,49912,25
13.5,34731,25
14,45694,25
14.5,41532,25
15,40120,25
15.5,40411,25
16,36909,25
16.5,34718,25
17,29869,25
17.5,27712,25
18,26736,25
18.5,24519,25
19,24666,25
19.5,22865,25
20,21282,25
20.5,20028,25
21,18258,25
21.5,16157,25
22,11894,25
22.5,14013,25
23,12985,25
23.5,12240,25
24,11580,25
24.5,10490,25
25,10004,25
25.5,9675,25
26,8875,25
26.5,8212,25
27,7939,25
27.5,7505,25
28,7448,25
28.5,5298,25
29,6283,25
29.5,6107,25
30,3575,25
30.5,5433,25
31,5165,25
31.5,4472,25
32,4867,25
32.5,4410,25
33,4640,25
