Time,Conc,RT
0,1368,14.28
0.5,1151,14.28
1,952,14.28
1.5,677,14.28
2,457,14.28
2.5,1064,14.28
3,72391,14.28
3.5,121165,14.28
4,626071,14.28
4.5,569350,14.28
5,441109,14.28
5.5,254110,14.28
6,169069,14.28
6.5,174317,14.28
7,179344,14.28
7.5,126435,14.28
8,98575,14.28
8.5,128332,14.28
9,105785,14.28
9.5,91656,14.28
10,85788,14.28
10.5,72953,14.28
11,69568,14.28
11.5,58370,14.28
12,50647,14.28
12.5,38077,14.28
13,42984,14.28
13.5,44616,14.28
14,36050,14.28
14.5,33140,14.28
15,30926,14.28
15.5,28076,14.28
16,25476,14.28
16.5,16470,14.28
17,30322,14.28
17.5,25521,14.28
18,21612,14.28
18.5,21323,14.28
19,22580,14.28
19.5,19266,14.28
20,24576,14.28
20.5,26503,14.28
21,25313,14.28
21.5,17947,14.28
22,18525,14.28
22.5,17788,14.28
23,10463,14.28
23.5,40562,14.28
24,32023,14.28
24.5,22949,14.28
25,23565,14.28
25.5,17692,14.28
26,19325,14.28
26.5,21875,14.28
27,18684,14.28
27.5,25711,14.28
28,28085,14.28
28.5,27517,14.28
29,40812,14.28
29.5,38593,14.28
30,34114,14.28
